session_id,x,sequence_codes
396,6,623AB6
397,3,060
398,6,7A45B5
399,4,01B1
400,7,206B98B
401,5,56A1A
402,3,B7B
403,3,0B0
404,5,27454
405,4,B82B
406,4,A363
407,6,890120
408,3,922
409,7,2935088
410,4,4B99
411,5,3A070
412,2,66
413,6,138543
414,3,A1A
415,5,94787
416,8,1B563707
417,8,147B0595
418,2,BB
419,5,290A0
420,5,76386
421,6,94A609
422,4,1B21
423,3,A88
424,7,84127A7
425,3,988
426,2,55
427,8,58936425
428,4,A727
429,5,142A4
430,7,6A40575
431,6,58A06A
432,3,B9B
433,2,99
434,7,4673B54
435,4,1A91
436,4,3922
437,2,33
438,7,5B68146
439,3,656
440,5,80930
441,8,076918B7
442,5,75B25
443,5,23642
444,8,34B629AA
445,6,6097AA
446,6,563822
447,6,50A747
448,4,7A27
449,2,66
450,4,B232
451,4,2747
452,4,8377
453,3,155
454,4,A3BA
455,7,7890B3B
456,5,74B0B
457,4,A87A
458,3,100
459,4,8A68
460,3,595
461,8,08364920
462,3,699
463,2,BB
464,6,20B313
465,7,03429A2
466,7,B62A536
467,6,67A200
468,4,0A66
469,6,750395
470,8,03B29866
471,4,4799
472,5,3A676
473,2,88
474,5,49755
475,3,844
476,9,05A37B811
477,5,45166
478,7,5267B02
479,4,7487
480,3,A55
481,5,79A6A
482,6,62B399
483,9,250613A41
484,6,70A187
485,5,61706
486,5,42054
487,4,9819
488,6,534B99
489,5,48BAA
490,7,01A5633
491,7,049A636
492,8,192638A1
493,5,94131
494,4,A388
495,5,43874
496,6,B36A23
497,4,B5AA
498,3,9B9
499,8,8723BA57
500,7,29B75A9
501,2,AA
502,4,0212
503,3,377
504,4,5909
505,3,101
506,6,B32783
507,6,3107A1
508,3,277
509,6,A978B7
510,4,25A2
511,2,11
512,4,4969
513,2,00
514,9,1B79A6587
515,6,8235AA
516,6,197A0A
517,4,B04B
518,4,A866
519,7,97A0259
520,5,254A2
521,4,3B1B
522,7,371B656
523,4,2042
524,6,685191
525,5,6A53A
526,6,0A7537
527,4,6588
528,4,9BAA
529,5,67406
530,5,23477
531,4,B399
532,4,4979
533,5,B8966
534,5,7B133
535,4,9349
536,8,94072164
537,6,10AB6A
538,6,671323
539,5,B759B
540,7,7802499
541,9,25496A171
542,4,9040
543,3,855
544,3,757
545,6,043277
546,4,9379
547,4,B54B
548,8,A95176B6
549,4,1477
550,3,799
551,5,92511
552,4,1727
553,5,2B9A2
554,6,3B4104
555,6,279047
556,3,7BB
557,10,5A97248133
558,5,08628
559,5,761A1
560,4,B282
561,8,92A63543
562,4,6A0A
563,9,B498A702A
564,7,75B1421
565,5,0B7AA
566,3,050
567,6,958419
568,3,744
569,2,77
570,3,414
571,3,626
572,12,354182A76B98
573,6,610737
574,5,0A9B0
575,5,36212
576,5,65288
577,2,77
578,3,188
579,4,8272
580,5,62176
581,7,7248368
582,9,18762A4BB
583,4,B848
584,5,B154B
585,6,073860
586,6,42A982
587,8,084A9124
588,3,622
589,3,343
590,3,533
591,3,545
592,6,1A8698
593,3,909
594,3,6A6
595,4,9161
596,3,899
597,7,B270A88
598,5,42363
599,7,BA2053A
600,9,9648207B9
601,9,612A30743
602,3,565
603,7,2B845AB
604,4,8A5A
605,7,7154ABB
606,2,77
607,3,500
608,8,60A21582
609,9,4B50A7287
610,2,77
611,4,7060
612,4,7505
613,9,0B3812541
614,3,844
615,3,766
616,6,8BA535
617,7,3027B43
618,5,B07AA
619,4,1B66
620,4,2692
621,4,B747
622,5,0B15B
623,8,40B69515
624,2,11
625,3,300
626,7,1809B58
627,6,630822
628,3,090
629,5,8A499
630,5,706AA
631,7,53249A5
632,3,626
633,3,212
634,6,923502
635,4,4232
636,4,A121
637,7,7B53A83
638,4,BA4B
639,6,679300
640,4,0750
641,5,027B0
642,4,6399
643,4,8699
644,3,898
645,9,49851B271
646,5,23803
647,4,8939
648,5,71401
649,5,29BA2
650,4,6B99
651,8,7B102631
652,4,5131
653,8,3B82719B
654,4,5105
655,5,25982
656,9,4A6831909
657,7,4513288
658,10,0A2B391565
659,6,236782
660,3,811
661,3,313
662,3,B4B
663,7,23569A2
664,7,08B9740
665,5,75405
666,4,6311
667,6,15A681
668,6,13B58B
669,4,4BAB
670,6,618977
671,3,040
672,8,6B598139
673,4,0311
674,6,6B9500
675,9,6BA253702
676,4,0833
677,3,3AA
678,4,2949
679,2,AA
680,5,03693
681,6,9A4654
682,5,24B3B
683,8,89B24578
684,6,631B21
685,3,022
686,3,9A9
687,8,79023B89
688,7,3251494
689,3,588
690,4,3040
691,6,6B1076
692,3,848
693,4,1031
694,3,191
695,7,AB7032B
696,4,36BB
697,5,64909
698,6,2B80AB
699,6,845374
700,4,3144
701,6,140970
702,5,71987
703,10,9A054318BB
704,6,52B71B
705,5,70544
706,6,70B696
707,7,A018565
708,8,A97B826A
709,4,94AA
710,9,82B146902
711,4,5622
712,5,37153
713,2,BB
714,7,B8461A4
715,6,1BA42B
716,5,48B34
717,7,34765A6
718,5,289BB
719,8,923687A3
720,8,95268306
721,7,A97216A
722,3,9AA
723,7,637A4BA
724,2,BB
725,6,143699
726,10,74156A03BB
727,7,A308293
728,4,8A5A
729,5,A9209
730,4,4A24
731,7,456A075
732,6,856146
733,6,08A717
734,5,19262
735,8,068A3929
736,6,B60386
737,6,64B57B
738,2,33
739,8,82B90530
740,2,11
741,7,1A84505
742,5,19561
743,2,66
744,5,3AB88
745,2,33
746,4,6141
747,3,191
748,4,5615
749,2,AA
750,3,1B1
751,2,AA
752,3,088
753,6,218451
754,2,99
755,4,3808
756,3,900
757,4,9AB9
758,8,8942B072
759,5,8A0B8
760,8,786B1040
761,4,5965
762,5,73047
763,6,A89429
764,6,8A709A
765,3,144
766,4,6212
767,3,5AA
768,5,04B5B
769,6,4B2314
770,3,8AA
771,5,A4262
772,4,1388
773,4,2799
774,7,8907A58
775,9,6703B5217
776,8,AB782452
777,6,1B9541
778,5,80B1B
779,5,4AB6B
780,4,4811
781,3,757
782,10,B95421A671
783,8,A2395B09
784,4,A525
785,5,503A0
786,8,7865AB07
787,6,657B87
788,6,280650
789,4,2566
790,6,430299
791,6,34B674
792,9,38B461578
793,8,A29016BB
794,5,49233
795,7,4018AB0
796,3,977
797,10,7AB4590688
798,7,3AB690B
799,2,BB
800,7,7965B2B
801,4,82A8
802,5,97858
803,7,24A193A
804,2,44
805,3,011
806,6,360753
807,7,207AB99
808,4,8611
809,7,0184968
810,5,32898
811,4,B838
812,6,3086A8
813,8,98427512
814,5,B2832
815,8,194632B6
816,4,AB99
817,7,23B89A3
818,3,B9B
819,8,789621AA
820,4,20BB
821,4,3A9A
822,8,832071BB
823,5,A41BB
824,10,270A8346B3
825,4,7282
826,7,3148BA4
827,5,B4855
828,6,62AB36
829,4,A373
830,3,833
831,4,8299
832,4,7636
833,7,4507311
834,8,18546B28
835,7,0185B68
836,5,7B087
837,6,6285A8
838,10,A139285767
839,9,7BA893618
840,5,93423
841,7,0B49355
842,2,44
843,5,86948
844,8,35B2A04A
845,3,323
846,8,02547A8A
847,5,30283
848,5,62A76
849,5,02860
850,4,3177
851,7,76A3207
852,3,838
853,5,9A464
854,3,959
855,4,18A8
856,4,6A96
857,9,5B0716A99
858,2,66
859,6,4781AA
860,7,285A166
861,4,9B7B
862,4,B030
863,3,ABA
864,7,74A028A
865,5,546B5
866,4,6080
867,6,65B296
868,4,A2BB
869,5,B516B
870,5,259A2
871,5,A4B0B
872,6,9B6077
873,5,76146
874,5,85141
875,8,94031583
876,4,0388
877,6,074A9A
878,6,7916BB
879,9,67825B046
880,4,B4AB
881,6,286959
882,6,832473
883,5,85313
884,6,9A4878
885,4,6377
886,8,354789B7
887,3,B33
888,5,672BB
889,5,A5645
890,5,AB585
891,7,96721A7
892,4,1677
893,6,619756
894,8,276BA83B
895,4,4929
896,4,61B6
897,2,99
898,6,849618
899,2,00
900,9,5139B7865
901,4,0383
902,5,0B787
903,3,434
904,4,A411
905,3,199
906,5,35922
907,2,55
908,3,299
909,4,6B11
910,12,6471A8359B22
911,6,5AB085
912,4,9579
913,5,106B1
914,6,630156
915,10,2A579B4184
916,2,66
917,6,54B875
918,5,396A3
919,4,4858
920,8,04B91624
921,3,525
922,8,812947A1
923,3,2BB
924,4,8020
925,5,9A68A
926,5,7B157
927,6,874A54
928,6,279484
929,4,8303
930,8,83945A00
931,6,917686
932,3,A4A
933,2,00
934,6,B04634
935,4,68B6
936,5,582A2
937,4,8BAB
938,8,A05698B6
939,4,9611
940,4,2090
941,5,612B6
942,9,9328B510B
943,8,B367A80B
944,4,08B8
945,9,31679B8A6
946,5,94566
947,3,030
948,6,A75267
949,4,B606
950,5,23600
951,3,B4B
952,5,95676
953,3,A5A
954,7,3019A50
955,6,835408
956,5,07580
957,3,811
958,5,37166
959,5,29AB2
960,4,8A11
961,2,22
962,4,9179
963,3,727
964,5,B09AA
965,4,0655
966,5,61299
967,6,06B244
968,9,807B56A3A
969,2,44
970,6,490585
971,6,74A5B5
972,6,3A1921
973,4,4311
974,7,1056838
975,6,3AB499
976,8,03894122
977,5,16271
978,6,674055
979,5,68499
980,4,0840
981,3,636
982,4,B101
983,3,3BB
984,7,97046B6
985,4,9ABB
986,4,3B1B
987,4,5688
988,5,A1951
989,4,70AA
990,5,8A27A
991,5,19061
992,8,743B8A07
993,2,66
994,4,A404
995,8,0B974636
996,4,9747
997,6,397543
998,5,28355
999,6,387B00
1000,5,A8B3A
1001,4,9BAB
1002,3,767
1003,4,B707
1004,8,A8437917
1005,8,20984159
1006,4,7837
1007,5,9A676
1008,4,3599
1009,4,8677
1010,7,7B51267
1011,6,3B1499
1012,8,52497BAA
1013,6,4B2166
1014,3,744
1015,2,77
1016,2,44
1017,7,109A389
1018,4,4577
1019,8,3297A487
1020,4,1979
1021,8,691B42A6
1022,4,8656
1023,4,28B8
1024,7,4329B73
1025,6,1745B1
1026,3,131
1027,5,61906
1028,8,B8217454
1029,4,3299
1030,7,250B64B
1031,5,17A2A
1032,5,17431
1033,4,5033
1034,5,6B5AA
1035,6,53B9A9
1036,6,15A78A
1037,2,88
1038,7,7BA1959
1039,5,65B16
1040,3,484
1041,4,3253
1042,6,A45965
1043,4,4393
1044,6,123B99
1045,6,402B55
1046,7,8631953
1047,4,32A2
1048,8,6521AB06
1049,2,11
1050,3,7A7
1051,3,855
1052,4,B34B
1053,4,1767
1054,2,55
1055,6,7AB35A
1056,3,515
1057,3,A5A
1058,6,65A011
1059,5,06726
1060,3,434
1061,9,2B6750180
1062,3,060
1063,8,4B501280
1064,2,99
1065,4,0A11
1066,3,A5A
1067,5,A8248
1068,4,5B95
1069,7,4B37567
1070,7,90A7488
1071,6,A79B27
1072,6,3A5795
1073,8,6A341822
1074,5,29B09
1075,6,245399
1076,4,3600
1077,6,46B202
1078,8,B2085A70
1079,7,65023A3
1080,8,79A61509
1081,4,8B3B
1082,5,4B717
1083,4,79BB
1084,9,817259ABA
1085,8,A1043266
1086,6,B2A488
1087,6,36A85A
1088,5,0AB10
1089,3,611
1090,3,979
1091,4,7987
1092,5,70420
1093,8,05273646
1094,7,B68A416
1095,4,5925
1096,4,0730
1097,6,074955
1098,7,981A231
1099,7,97A8537
1100,6,756B44
1101,6,6580B5
1102,3,677
1103,7,AB3064B
1104,6,32A452
1105,3,838
1106,6,6B9706
1107,6,9A2474
1108,7,4758234
1109,3,533
1110,5,1B40B
1111,7,12A6976
1112,4,7ABB
1113,7,21853B8
1114,5,A0B22
1115,8,A0917B47
1116,6,835A0A
1117,10,9874531A21
1118,2,88
1119,2,AA
1120,8,B103A27B
1121,5,2A575
1122,8,B2093870
1123,8,3794A15A
1124,4,1921
1125,2,33
1126,7,6A7B181
1127,4,6876
1128,3,949
1129,6,982538
1130,5,B6855
1131,4,1ABA
1132,6,5B6796
1133,10,47318960B0
1134,3,722
1135,2,11
1136,7,518B798
1137,3,BAA
1138,6,5B041B
1139,3,544
1140,4,81B1
1141,5,A89B9
1142,3,050
1143,2,55
1144,9,5836B9018
1145,4,52BB
1146,6,039181
1147,7,A240B8A
1148,7,AB87167
1149,4,A282
1150,5,27BA7
1151,4,46BB
1152,4,4787
1153,7,368A108
1154,4,05B5
1155,6,831751
1156,3,088
1157,6,326746
1158,3,988
1159,6,B724A4
1160,2,AA
1161,5,93566
1162,3,898
1163,6,815235
1164,5,03173
1165,2,11
1166,4,7838
1167,6,763A88
1168,5,417B7
1169,4,1434
1170,2,77
1171,6,503925
1172,5,38600
1173,6,8601B0
1174,3,B8B
1175,4,69AA
1176,7,2B53A0B
1177,6,5AB90A
1178,4,4588
1179,8,7B029647
1180,2,11
1181,7,1A753BA
1182,5,0A12A
1183,8,89A13258
1184,5,34020
1185,8,821A659A
1186,5,809A9
1187,7,5971387
1188,5,78A07
1189,7,B86A046
1190,7,8260373
1191,4,24BB
1192,4,0B2B
1193,7,2A7149A
1194,4,3515
1195,6,B8A599
1196,6,1A9B33
1197,4,19A1
1198,4,6322
1199,5,925B9
1200,4,B8AB
1201,5,37293
1202,2,66
1203,4,4704
1204,4,80A8
1205,5,32482
1206,5,AB988
1207,4,26AA
1208,6,683546
1209,3,878
1210,5,21401
1211,3,1AA
1212,7,A4961BA
1213,4,1545
1214,3,707
1215,3,272
1216,4,70BB
1217,10,A6214B8595
1218,8,5B219632
1219,9,026B85311
1220,5,69726
1221,4,B4AA
1222,3,688
1223,5,126B1
1224,5,9B1A1
1225,3,533
1226,8,45912682
1227,5,75A05
1228,5,93488
1229,6,25B095
1230,6,603793
1231,7,30A4973
1232,4,3A6A
1233,4,5A05
1234,4,9757
1235,9,65B149A2A
1236,5,65B35
1237,7,2046ABB
1238,9,B01936727
1239,6,3521B5
1240,3,B88
1241,6,28A708
1242,6,2A9369
1243,4,A252
1244,6,4B1033
1245,4,37B3
1246,6,187061
1247,7,1B624A2
1248,2,22
1249,5,14799
1250,2,99
1251,7,B410388
1252,5,B6131
1253,7,3B5821B
1254,8,429716BB
1255,5,94A34
1256,4,5925
1257,6,076434
1258,11,1075BA36283
1259,9,5921478B9
1260,4,5465
1261,7,1B90381
1262,4,4030
1263,4,6292
1264,3,919
1265,5,36A73
1266,2,33
1267,4,83B3
1268,2,44
1269,4,2535
1270,7,563B186
1271,9,503498125
1272,4,78A8
1273,8,86093156
1274,5,0A288
1275,2,00
1276,3,700
1277,7,0528B30
1278,8,730821A2
1279,5,70BAA
1280,5,12B77
1281,4,75A7
1282,7,5B743AB
1283,6,6B249B
1284,5,10761
1285,5,35A7A
1286,6,970A59
1287,9,4BA980313
1288,3,1AA
1289,4,8728
1290,9,5809361A5
1291,4,2A6A
1292,5,80464
1293,5,42B92
1294,3,525
1295,7,8973517
1296,3,A44
1297,6,3BA75B
1298,4,1733
1299,4,BA66
1300,4,A75A
1301,5,16575
1302,4,B288
1303,6,3B6A06
1304,8,59348265
1305,5,B8938
1306,3,3A3
1307,6,695136
1308,4,0838
1309,3,838
1310,3,353
1311,4,8966
1312,4,9577
1313,4,9511
1314,4,B911
1315,8,BA789239
1316,5,6A14A
1317,2,66
1318,5,17A44
1319,4,9466
1320,6,71A691
1321,3,922
1322,9,9704A82B7
1323,6,16B40B
1324,7,9A15B65
1325,6,9A082A
1326,6,65B70B
1327,6,907646
1328,4,2900
1329,4,9188
1330,7,0B6A356
1331,5,04787
1332,4,8677
1333,2,11
1334,5,347B3
1335,6,4517B5
1336,6,954B39
1337,3,577
1338,7,0A84624
1339,8,A4293B8A
1340,3,383
1341,2,33
1342,5,01B55
1343,6,A458B5
1344,10,2B5A864075
1345,2,00
1346,6,304212
1347,5,A9B00
1348,5,82792
1349,3,733
1350,5,74164
1351,2,99
1352,4,3653
1353,3,800
1354,3,2AA
1355,5,49054
1356,6,B1987B
1357,9,5486271A7
1358,6,A30763
1359,9,8A4310590
1360,5,1A577
1361,7,3A47613
1362,4,7207
1363,4,1633
1364,6,A926B2
1365,5,41764
1366,4,3B93
1367,3,646
1368,3,959
1369,10,5B78903467
1370,7,7651A87
1371,7,5986136
1372,7,315B261
1373,8,3BA72151
1374,3,9A9
1375,5,83503
1376,4,4A5A
1377,8,2403B9A4
1378,3,711
1379,5,49679
1380,6,7B8A0B
1381,5,5B877
1382,9,50492B735
1383,6,A03744
1384,9,B792451A7
1385,3,424
1386,4,2477
1387,10,A8942B5739
1388,4,1797
1389,10,21768940B1
1390,6,5241AA
1391,5,B8727
1392,7,3027640
1393,3,565
1394,3,727
1395,8,578326A6
1396,3,272
1397,9,5284A9B39
1398,5,79217
1399,4,3155
1400,2,33
1401,6,2B70A7
1402,7,90483A0
1403,3,A1A
1404,5,A645A
1405,5,52414
1406,3,1BB
1407,5,61931
1408,10,6580B4A298
1409,3,822
1410,5,27633
1411,4,0240
1412,5,61926
1413,2,00
1414,4,0939
1415,2,66
1416,5,412B4
1417,6,4583B5
1418,6,A705B5
1419,8,436B8294
1420,6,29A01A
1421,5,BA696
1422,6,B63876
1423,7,12B7080
1424,4,9089
1425,3,424
1426,3,822
1427,3,8A8
1428,5,25411
1429,4,6A22
1430,8,6B82A178
1431,7,86720A2
1432,4,6A00
1433,5,40720
1434,9,28A475094
1435,6,4358A3
1436,5,37803
1437,6,4013A1
1438,6,768437
1439,7,45268A5
1440,3,3A3
1441,5,47A2A
1442,3,373
1443,6,B5013B
1444,5,368A3
1445,3,088
1446,4,9A89
1447,5,20910
1448,6,2A106A
1449,7,48056B5
1450,9,725B419A7
1451,5,BA171
1452,2,88
1453,6,1A0787
1454,3,066
1455,2,AA
1456,4,6B22
1457,4,4274
1458,3,010
1459,4,5077
1460,4,7494
1461,3,848
1462,4,0911
1463,6,653414
1464,3,747
1465,7,B465176
1466,8,B9A6154A
1467,2,AA
1468,3,828
1469,4,4B3B
1470,5,B8616
1471,9,0873A91B3
1472,6,206737
1473,3,919
1474,8,90432B14
1475,3,499
1476,6,542765
1477,4,8933
1478,6,728192
1479,5,463B3
1480,3,4BB
1481,6,62B077
1482,3,262
1483,5,01BAA
1484,6,720633
1485,8,920183A2
1486,6,571347
1487,4,7255
1488,7,2769859
1489,6,753B95
1490,7,4B61933
1491,7,1AB640B
1492,4,8B5B
1493,8,98754138
1494,2,33
1495,7,A13826A
1496,7,01A957A
1497,5,94655
1498,4,35BB
1499,3,686
1500,9,8B901A240
1501,8,49A72384
1502,3,799
1503,3,355
1504,7,5AB317B
1505,3,313
1506,2,55
1507,8,8B169424
1508,3,311
1509,8,492536AA
1510,5,8B09B
1511,3,A6A
1512,6,837657
1513,6,8614AA
1514,2,BB
1515,6,346A14
1516,2,88
1517,3,377
1518,6,49A656
1519,3,A66
1520,6,A01878
1521,6,3B10A3
1522,7,B578497
1523,6,937B07
1524,9,81BA62434
1525,5,68133
1526,4,A266
1527,3,959
1528,9,87432A514
1529,3,944
1530,4,A955
1531,6,673B06
1532,6,948619
1533,6,0A42B2
1534,5,45303
1535,6,095319
1536,7,89B0644
1537,7,5987B18
1538,6,950369
1539,3,474
1540,6,B64514
1541,7,9275A4A
1542,4,3808
1543,7,576A488
1544,6,015875
1545,5,3B463
1546,4,7535
1547,5,38404
1548,2,BB
1549,8,42B857A5
1550,2,AA
1551,5,412B2
1552,3,499
1553,8,6291A757
1554,6,724362
1555,5,670AA
1556,7,4513285
1557,4,6576
1558,4,86B8
1559,3,878
1560,4,BA11
1561,3,377
1562,4,53B3
1563,7,2B917A1
1564,5,A49B9
1565,5,04511
1566,8,18246A52
1567,3,255
1568,7,9702BA0
1569,6,650299
1570,8,3257B805
1571,2,33
1572,5,37123
1573,7,6B95345
1574,4,7133
1575,3,B33
1576,9,02BA65383
1577,6,056B99
1578,5,87A99
1579,5,43588
1580,4,2911
1581,6,431B61
1582,6,B7942B
1583,8,1AB09539
1584,4,A979
1585,7,953B475
1586,8,92657848
1587,10,6329AB8718
1588,3,9AA
1589,4,8055
1590,3,3B3
1591,10,789154B322
1592,8,B7548A22
1593,4,2B55
1594,2,22
1595,4,7A57
1596,5,52717
1597,6,941B04
1598,8,7B916349
1599,6,018A30
1600,8,6A273B8B
1601,7,8571B9B
1602,8,23085A42
1603,4,1761
1604,10,517B80A348
1605,7,0486B54
1606,5,A5422
1607,4,9329
1608,4,5433
1609,4,0311
1610,4,12A1
1611,6,5B3925
1612,6,902544
1613,7,189AB7B
1614,4,3212
1615,4,79B7
1616,6,BA845A
1617,6,498754
1618,4,A50A
1619,3,177
1620,3,BAB
1621,6,5370A5
1622,5,30B83
1623,6,8139A8
1624,3,899
1625,5,68511
1626,3,266
1627,5,34A8A
1628,5,026A2
1629,5,6B876
1630,4,61A6
1631,6,895035
1632,6,192060
1633,6,26A482
1634,4,4022
1635,7,97A1545
1636,7,74B6517
1637,5,3A91A
1638,5,50815
1639,4,58AA
1640,4,B191
1641,4,1041
1642,4,1A01
1643,7,9B41A7A
1644,8,96453B86
1645,9,532B08A98
1646,7,9423A0A
1647,3,A66
1648,4,68AA
1649,3,422
1650,9,3104AB79A
1651,4,5425
1652,5,3B066
1653,5,31B93
1654,6,B94757
1655,4,3422
1656,5,50919
1657,5,84676
1658,5,30183
1659,6,032512
1660,6,798161
1661,4,7A17
1662,6,897628
1663,3,525
1664,2,44
1665,5,98219
1666,9,8A2379B5B
1667,5,6A286
1668,5,A5424
1669,4,A5BA
1670,6,61AB71
1671,4,82A8
1672,7,37A0563
1673,6,49B262
1674,7,46A583A
1675,8,9768A539
1676,8,2759A635
1677,5,8A67A
1678,7,6427A97
1679,4,2832
1680,3,A8A
1681,5,26472
1682,6,6A0510
1683,4,6BAB
1684,4,0340
1685,6,061B31
1686,9,7063B1943
1687,6,42B151
1688,4,46AA
